DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.241232	24	1	0	1	12	3	1	0	1094	0	0	20.6805 	0	0
UL	0.241482	24	1	1	1	12	3	1	0	1094	0	0	20.6564 	0	0
UL	0.241732	24	1	2	1	12	3	1	0	1094	0	0	20.6243 	0	0
UL	0.241982	24	1	3	1	12	3	1	0	15095	20	0	20.6291 	0	0
DL	0.242036	24	2	0	1	1	3	1	0	88	0	0	20.6844	0	0
UL	0.242232	24	2	0	2	11	3	1	0	15095	21	0	20.6894 	1	0.406654
UL	0.242482	24	2	1	1	12	3	1	0	16468	21	0	20.6532 	0	0.426946
UL	0.242732	24	2	2	1	12	3	1	0	16468	21	0	20.6481 	0	0
UL	0.242964	24	2	3	1	11	3	1	0	15095	21	1	20.6515 	0	0
UL	0.243232	24	3	0	1	12	3	1	0	15095	20	0	20.5751 	0	0
UL	0.243482	24	3	1	1	12	3	1	0	16468	21	0	20.5747 	0	0
UL	0.243732	24	3	2	1	12	3	1	0	16468	21	0	20.618 	0	0
UL	0.243982	24	3	3	1	12	3	1	0	17841	22	0	20.6487 	0	0.0135133
UL	0.244232	24	4	0	1	12	3	1	0	16468	21	0	20.6598 	0	0
UL	0.244482	24	4	1	1	12	3	1	0	16468	21	0	20.6823 	0	0
UL	0.244732	24	4	2	1	12	3	1	0	17841	22	0	20.79 	1	0.913758
UL	0.244982	24	4	3	1	12	3	1	0	17841	22	0	20.9019 	1	0.913758
UL	0.245232	24	5	0	1	12	3	1	0	16468	21	0	20.8928 	0	0
UL	0.245482	24	5	1	1	12	3	1	0	17841	22	1	20.8555 	0	0
UL	0.245732	24	5	2	1	12	3	1	0	17841	22	1	20.8704 	0	0
UL	0.245982	24	5	3	1	12	3	1	0	16468	21	0	20.8361 	0	0
UL	0.246232	24	6	0	1	12	3	1	0	16468	21	0	20.7716 	1	0.426946
UL	0.246482	24	6	1	1	12	3	1	0	16468	21	0	20.6958 	1	0.426946
UL	0.246732	24	6	2	1	12	3	1	0	16468	21	0	20.6183 	0	0.426946
UL	0.246982	24	6	3	1	12	3	1	0	16468	21	1	20.5989 	0	0
UL	0.247232	24	7	0	1	12	3	1	0	16468	21	1	20.5971 	0	0
UL	0.247482	24	7	1	1	12	3	1	0	15095	20	0	20.5247 	0	0
UL	0.247732	24	7	2	1	12	3	1	0	15095	20	0	20.5655 	0	0
UL	0.247982	24	7	3	1	12	3	1	0	15095	20	0	20.6476 	0	0
UL	0.248232	24	8	0	1	12	3	1	0	16468	21	0	20.6507 	0	0
UL	0.248482	24	8	1	1	12	3	1	0	16468	21	0	20.6687 	0	0
UL	0.248732	24	8	2	1	12	3	1	0	17841	22	0	20.6675 	1	0.913758
UL	0.248982	24	8	3	1	12	3	1	0	17841	22	0	20.7316 	1	0.913758
UL	0.249232	24	9	0	1	12	3	1	0	17841	22	0	20.7635 	1	0.913758
UL	0.249482	24	9	1	1	12	3	1	0	17841	22	1	20.7765 	0	0
UL	0.249732	24	9	2	1	12	3	1	0	17841	22	1	20.6857 	0	0
UL	0.249982	24	9	3	1	12	3	1	0	17841	22	1	20.6955 	0	0
UL	0.250232	25	0	0	1	12	3	1	0	16468	21	0	20.6988 	1	0.426946
UL	0.250482	25	0	1	1	12	3	1	0	16468	21	0	20.6784 	1	0.426946
UL	0.250732	25	0	2	1	12	3	1	0	16468	21	0	20.6549 	0	0.426946
UL	0.250982	25	0	3	1	12	3	1	0	16468	21	1	20.6171 	0	0
UL	0.251232	25	1	0	1	12	3	1	0	16468	21	1	20.6605 	0	0
UL	0.251482	25	1	1	1	12	3	1	0	15095	20	0	20.5979 	0	0
UL	0.251732	25	1	2	1	12	3	1	0	15095	20	0	20.5555 	0	0
UL	0.251982	25	1	3	1	12	3	1	0	15095	20	0	20.6818 	0	0
UL	0.252232	25	2	0	1	12	3	1	0	17841	22	0	20.7208 	0	0.0135133
DL	0.252286	25	2	1	1	1	3	1	0	1487	22	0	20.5908	0	0.015936
UL	0.252482	25	2	1	2	11	3	1	0	16353	22	0	20.7568 	0	0.0127235
UL	0.252732	25	2	2	1	12	3	1	0	17841	22	0	20.726 	0	0.0135133
UL	0.252982	25	2	3	1	12	3	1	0	17841	22	0	20.8142 	1	0.913758
UL	0.253232	25	3	0	1	12	3	1	0	17841	22	0	20.7421 	1	0.913758
UL	0.253482	25	3	1	1	12	3	1	0	17841	22	0	20.8633 	1	0.913758
UL	0.253732	25	3	2	1	12	3	1	0	17841	22	1	20.802 	0	0
UL	0.253982	25	3	3	1	12	3	1	0	17841	22	1	20.7193 	0	0
UL	0.254232	25	4	0	1	12	3	1	0	17841	22	1	20.64 	0	0
UL	0.254482	25	4	1	1	12	3	1	0	16468	21	0	20.5396 	0	0
UL	0.254732	25	4	2	1	12	3	1	0	16468	21	0	20.4859 	0	0
UL	0.254982	25	4	3	1	12	3	1	0	16468	21	0	20.4572 	0	0
UL	0.255232	25	5	0	1	12	3	1	0	16468	21	0	20.5406 	0	0
UL	0.255482	25	5	1	1	12	3	1	0	16468	21	0	20.6132 	0	0
UL	0.255732	25	5	2	1	12	3	1	0	16468	21	0	20.6704 	0	0
UL	0.255982	25	5	3	1	12	3	1	0	17841	22	0	20.7449 	1	0.913758
UL	0.256232	25	6	0	1	12	3	1	0	17841	22	0	20.7774 	0	0.0135133
UL	0.256482	25	6	1	1	12	3	1	0	17841	22	0	20.7984 	0	0.0135133
UL	0.256732	25	6	2	1	12	3	1	0	17841	22	1	20.8909 	0	0
UL	0.256982	25	6	3	1	12	3	1	0	17841	22	0	20.852 	1	0.913758
UL	0.257232	25	7	0	1	12	3	1	0	17841	22	0	20.845 	1	0.913758
UL	0.257482	25	7	1	1	12	3	1	0	17841	22	0	20.7544 	1	0.913758
UL	0.257732	25	7	2	1	12	3	1	0	17841	22	1	20.6928 	0	0
UL	0.257982	25	7	3	1	12	3	1	0	17841	22	1	20.626 	0	0
UL	0.258232	25	8	0	1	12	3	1	0	17841	22	1	20.5885 	0	0
UL	0.258482	25	8	1	1	12	3	1	0	16468	21	0	20.5458 	0	0
UL	0.258732	25	8	2	1	12	3	1	0	16468	21	0	20.4738 	0	0
UL	0.258982	25	8	3	1	12	3	1	0	16468	21	0	20.4729 	0	0
