Time,ueId,assoCell,compCell,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
2,1,2,3,5.95056,0.00147939,5.95008,5.95541,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,6.42328,0.943174,5.72733,8.22733,
2.5,1,2,3,6.07515,0.432151,5.95008,7.44741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,7.63797,4.54994,5.72733,21.888,
3,1,2,3,5.96972,0.0697554,5.95008,6.20186,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,6.42335,0.891449,5.72733,8.24163,
3.5,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.95798,0.29406,5.72733,6.49519,
4,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.76579,0.138675,5.72733,6.22733,
4.5,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.894,0.307729,5.72733,6.47733,
5,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.72733,0,5.72733,5.72733,
5.5,1,2,3,6.0971,0.436047,5.95008,7.46252,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,7.57734,4.57109,5.72733,21.888,
6,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.80425,0.187767,5.72733,6.22733,
6.5,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.97882,0.596277,5.72733,7.47733,
7,1,2,3,5.95035,0.000986257,5.95008,5.95363,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.99766,0.60061,5.72733,7.72733,
7.5,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.72733,0,5.72733,5.72733,
8,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.90178,0.346888,5.72733,6.72733,
8.5,1,2,3,5.95008,0,5.95008,5.95008,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.72733,0,5.72733,5.72733,
