Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax,e2eMea,e2eStd,e2eMin,e2eMax
1,7,3,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.90955,0,2.90955,2.90955,13.4107,0,13.4107,13.4107,
1,18,6,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.94527,0,2.94527,2.94527,13.4464,0,13.4464,13.4464,
1,3,2,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.96312,0,2.96312,2.96312,11.4643,0,11.4643,11.4643,
1,1,2,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.01475,0.204124,2.93142,3.43142,7.51547,0.204124,7.43214,7.93214,
1,13,5,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.01475,0.204124,2.93142,3.43142,7.51547,0.204124,7.43214,7.93214,
1.1,10,2,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,3.17741,0.280988,2.90955,3.44527,11.6786,0.280988,11.4107,11.9464,
1.1,16,5,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.94527,0,2.94527,2.94527,11.4464,0,11.4464,11.4464,
1.1,1,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.68214,0,2.68214,2.68214,4.68214,0,4.68214,4.68214,
1.1,13,5,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.93142,0,2.93142,2.93142,7.43214,0,7.43214,7.43214,
1.1,19,6,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.93142,0,2.93142,2.93142,7.43214,0,7.43214,7.43214,
1.1,13,5,9,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.10598,0.31542,2.96312,3.74884,16.6071,0.31542,16.4643,17.25,
