Time,ueId,assoCell,compCell,taskCount, upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1,8,3,2,5,1.21429,0.0798589,1.07143,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.76713,0.0798589,2.73141,2.90998,
1,15,5,2,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,3.20998,0.67082,2.90998,4.40998,
1,19,6,3,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.1,7,3,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.87427,0,2.87427,2.87427,
1.1,8,3,2,7,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.73141,0,2.73141,2.73141,
1.1,15,5,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,3.11832,0.51031,2.90998,4.15998,
1.1,19,6,3,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.1,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.2,7,3,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.87427,0,2.87427,2.87427,
