Time,ueId,assoCell,compCell,taskCount, upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1,15,5,4,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.05998,0.33541,2.90998,3.65998,
1,3,2,6,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1,8,3,6,5,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.73141,0,2.73141,2.73141,
1,19,6,6,5,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,2.91071,0,2.91071,2.91071,
1.1,7,3,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.89213,0,2.89213,2.89213,
1.1,15,5,4,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.40998,0.387298,2.90998,3.65998,
1.1,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.1,8,3,6,6,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.73141,0,2.73141,2.73141,
1.1,19,6,6,6,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,2.91071,0,2.91071,2.91071,
1.2,7,3,2,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.89213,0,2.89213,2.89213,
1.2,15,5,4,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.88958,0.10124,3.65998,3.92784,
1.2,3,2,6,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4.42857,1.13389,4,7,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
