Time,ueId,assoCell,compCell,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1.5,2,2,3,11.0893,0,11.0893,11.0893,0.500045,3.6e-05,0.500027,0.500099,0,0,0,0,9,0,9,9,0.50376,0,0.50376,0.50376,10.9873,0.338321,10.5855,11.3176,
1.5,3,3,3,13.9167,1.04083,12.75,14.75,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,19.6607,6.06636,12.75,24.1071,
1.5,4,3,3,12.3452,0.298985,12,12.5179,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,15.994,6.11644,10.7143,22.6964,
2,1,2,3,10.5893,0,10.5893,10.5893,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50376,0,0.50376,0.50376,9.99623,0,9.99623,9.99623,
2,2,2,3,11.0893,0,11.0893,11.0893,0.500027,0,0.500027,0.500027,0,0,0,0,9,0,9,9,0.50376,0,0.50376,0.50376,10.8355,0,10.8355,10.8355,
2,3,3,3,13.8819,2.05498,11,17.5,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,18.2761,5.91831,12.25,29.6964,
2,4,3,3,18.1484,11.0178,11.0179,48,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,34.0481,38.2372,10.5,133.75,
2.5,1,2,3,40.0243,18.1763,10.5893,60.9107,0.500025,1.27856e-05,0.500009,0.500045,0,0,0,0,9,0,9,9,0.50376,0,0.50376,0.50376,32.8371,11.9618,9.99623,46.8891,
2.5,2,2,3,34.4578,13.6142,11.0893,51.1071,0.500023,8.40779e-06,0.500009,0.500036,0,0,0,0,9,0,9,9,0.50376,0,0.50376,0.50376,31.0693,10.3677,10.8355,38.1034,
2.5,3,3,3,29.727,11.3417,13.2321,43.6964,0.357165,0.24399,0,0.500054,0,0,0,0,9,0,9,9,0.359829,0.24581,0,0.50376,135.972,11.8682,120.161,149.407,
2.5,4,3,3,9.97619,6.41487,6.10714,28.6071,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,10.744,8.38744,5.98214,31.1429,
3,1,2,3,25.6401,13.7134,10.5893,53.1964,0.500031,2.2233e-05,0.500009,0.500081,0,0,0,0,9,0,9,9,0.50376,0,0.50376,0.50376,22.8451,11.8242,9.4783,41.1391,
3,2,2,3,25.9931,13.4019,11.0893,47.875,0.500038,2.77773e-05,0.500009,0.500099,0,0,0,0,9,0,9,9,0.50376,0,0.50376,0.50376,21.8808,10.5342,9.97834,37.6391,
3,3,2,3,34.2972,14.1743,13.25,57.9643,0.250011,0.259449,0,0.500054,0,0,0,0,9,0,9,9,0.25188,0.261388,0,0.50376,122.873,42.1595,54.6391,182.425,
3,4,3,3,12.0755,5.21148,6.10714,19.7857,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,10.2129,4.71109,5.5,19.9286,
