Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax,e2eMea,e2eStd,e2eMin,e2eMax
1,1,2,5,5,5,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.90955,0,2.90955,2.90955,11.4107,0,11.4107,11.4107,
1,7,3,6,4,0,1.84467e+13,0,1.84467e+13,1.84467e+13,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.19527,0,3.19527,3.19527,16.6964,0,16.6964,16.6964,
1,2,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.25,0,3.25,3.25,5.25,0,5.25,5.25,
1.1,1,2,5,6,6,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.90955,0,2.90955,2.90955,11.4107,0,11.4107,11.4107,
1.1,7,3,6,7,0,1.84467e+13,0,1.84467e+13,1.84467e+13,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.19527,0,3.19527,3.19527,16.6964,0,16.6964,16.6964,
1.1,2,3,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.25,0,3.25,3.25,5.25,0,5.25,5.25,
1.2,1,2,5,6,6,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.90955,0,2.90955,2.90955,11.4107,0,11.4107,11.4107,
1.2,7,3,6,6,0,1.84467e+13,0,1.84467e+13,1.84467e+13,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.19527,0,3.19527,3.19527,16.6964,0,16.6964,16.6964,
1.2,2,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.25,0,3.25,3.25,5.25,0,5.25,5.25,
1.3,1,3,5,7,7,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.98098,0.188982,2.90955,3.40955,11.4821,0.188982,11.4107,11.9107,
1.3,2,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,2.90357,0.223607,2.80357,3.30357,11.9036,0.223607,11.8036,12.3036,
1.3,5,3,2,5,5,1.84467e+13,25.299,1.84467e+13,1.84467e+13,1244.24,25.2982,1212.24,1276.24,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,3.71714,0.127775,3.65999,3.94571,13.2179,0.127775,13.1607,13.4464,
1.3,7,3,2,6,5,1.84467e+13,504.871,1.84467e+13,1.84467e+13,1041.03,504.87,11.5,1278.93,0,0,0,0,7.83333,2.85774,2,9,2.33413,4.49091,0.50072,11.5012,4.07361,0.116413,3.99928,4.24928,14.2411,1.69572,13.5,17.6964,
1.3,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.3,3,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,4.74286,0.223607,4.64286,5.14286,6.74286,0.223607,6.64286,7.14286,
1.4,1,3,5,6,6,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.90955,0,2.90955,2.90955,11.4107,0,11.4107,11.4107,
1.4,2,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,2.80357,0,2.80357,2.80357,11.8036,0,11.8036,11.8036,
1.4,7,3,2,6,6,1.84467e+13,29.9335,1.84467e+13,1.84467e+13,1334.93,29.9333,1294.93,1374.93,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.33261,0.204124,4.24928,4.74928,13.8333,0.204124,13.75,14.25,
1.4,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.4,3,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,5.05952,0.408248,4.89286,5.89286,7.05952,0.408248,6.89286,7.89286,
1.5,1,3,5,6,6,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.90955,0,2.90955,2.90955,11.4107,0,11.4107,11.4107,
1.5,2,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,7.33333,0.816497,7,9,0,0,0,0,3.6875,0.401011,3.25,4.30357,11.0208,1.14906,10.25,13.3036,
1.5,7,3,2,7,7,1.84467e+13,34.5662,1.84467e+13,1.84467e+13,1438.93,34.564,1390.93,1486.93,0,0,0,0,7.28571,0.755929,7,9,0.50072,0,0.50072,0.50072,4.60132,0.269975,4.49928,5.21357,12.3878,1.0259,12,14.7143,
1.5,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,3,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,6.69048,0.298523,6.5,7.14286,8.69048,0.298523,8.5,9.14286,
1.6,2,2,4,6,6,1.53723e+13,7.53085e+12,0,1.84467e+13,5.41667,2.65361,0,6.5,0,0,0,0,7,0,7,7,5.41763,2.65409,0,6.50116,3.00796,0.24105,2.90955,3.5,15.4256,2.41304,10.5,16.4107,
1.6,6,2,4,10,6,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,4,2.58199,2,7,6.50116,0,6.50116,6.50116,5.19884,2.75069,3.14169,9.42741,15.7,5.28276,11.6429,22.9286,
1.6,7,3,4,5,5,1.84467e+13,669.225,1.84467e+13,1.84467e+13,305.786,669.225,6.5,1502.93,0,0,0,0,7,0,7,7,5.30107,2.68348,0.50072,6.50116,2.9775,0.127578,2.74928,3.03455,15.2786,2.81106,10.25,16.5357,
1.6,3,3,6,4,1,1.38351e+13,9.22337e+12,0,1.84467e+13,8.625,5.75,0,11.5,0,0,0,0,2,0,2,2,8.62587,5.75058,0,11.5012,7.33395,1.30307,5.94527,8.44526,17.9598,6.41572,8.5,21.9464,
1.6,1,3,2,6,6,1.84467e+13,629.104,1.84467e+13,1.84467e+13,1289.82,629.104,6.5,1578.49,0,0,0,0,3.66667,0.816497,2,4,1.50079,2.44967,0.50072,6.50116,2.73135,0.0873014,2.69571,2.90955,7.89881,1.72048,7.19643,11.4107,
1.6,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.7,2,2,4,6,5,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,2.96312,0.11462,2.90955,3.19527,16.4643,0.11462,16.4107,16.6964,
1.7,6,2,4,6,0,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,7.55241,0.44017,6.92741,7.92741,21.0536,0.44017,20.4286,21.4286,
1.7,7,3,4,7,7,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,3.01414,0.0348533,2.96312,3.03455,16.5153,0.0348533,16.4643,16.5357,
1.7,3,3,6,6,0,1.84467e+13,0,1.84467e+13,1.84467e+13,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,5.603,0.383562,5.17741,6.19527,19.1042,0.383562,18.6786,19.6964,
1.7,1,3,2,7,7,1.84467e+13,34.5643,1.84467e+13,1.84467e+13,1642.49,34.564,1594.49,1690.49,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.69571,0,2.69571,2.69571,7.19643,0,7.19643,7.19643,
1.7,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.8,2,2,4,6,5,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,2.99884,0.218704,2.90955,3.44527,16.5,0.218704,16.4107,16.9464,
1.8,6,2,4,7,0,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,6.17741,0.559017,5.92741,7.42741,19.6786,0.559017,19.4286,20.9286,
1.8,7,3,4,6,6,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,3.03455,0,3.03455,3.03455,16.5357,0,16.5357,16.5357,
1.8,3,3,6,7,0,1.84467e+13,0,1.84467e+13,1.84467e+13,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,4.69271,0.449918,4.44527,5.67741,18.1939,0.449918,17.9464,19.1786,
1.8,1,3,2,6,6,1.84467e+13,29.9342,1.84467e+13,1.84467e+13,1746.49,29.9333,1706.49,1786.49,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.69571,0,2.69571,2.69571,7.19643,0,7.19643,7.19643,
1.8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.9,2,3,4,6,5,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,3.66667,2.58199,2,7,6.50116,0,6.50116,6.50116,5.55836,1.62387,2.90955,7.62384,15.7262,1.81102,13.6964,18.6964,
1.9,6,2,5,6,3,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,4.5,1.22474,4,7,6.50116,0,6.50116,6.50116,4.36789,1.77291,3.07027,6.99884,15.369,1.91991,13.5714,17.5,
1.9,8,2,5,4,2,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,7.77562,2.15303,6.0167,10.4096,18.2768,2.15303,16.5179,20.9107,
1.9,1,3,2,6,4,1.84467e+13,29.9342,1.84467e+13,1.84467e+13,1842.49,29.9333,1802.49,1882.49,0,0,0,0,8.16667,2.04124,4,9,0.50072,0,0.50072,0.50072,5.83856,1.61008,3.94571,8.33856,14.506,3.24726,8.44643,17.8393,
1.9,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.9,5,2,2,7,7,1.58115e+13,6.97221e+12,0,1.84467e+13,1141.92,504.279,0,1372.24,0,0,0,0,9,0,9,9,0.429189,0.189254,0,0.50072,3.90499,0.420466,3.65999,4.58929,13.3342,0.313682,13.1607,13.9464,
1.9,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,5,3,2,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,7.26074,7.3511,2.96312,15.7488,17.7619,7.3511,13.4643,26.25,
2,8,2,5,6,2,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,7.08217,2.69111,2.98098,10.231,17.5833,2.69111,13.4821,20.7321,
2,1,3,2,6,2,1.84467e+13,29.9342,1.84467e+13,1.84467e+13,1938.49,29.9333,1898.49,1978.49,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,7.22547,0.913174,5.94571,8.44571,16.7262,0.913174,15.4464,17.9464,
2,3,3,2,8,0,1.84467e+13,49.6855,1.84467e+13,1.84467e+13,1901.49,49.6847,1833.49,1977.49,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,43.6377,31.8778,10.0886,93.9457,53.1384,31.8778,19.5893,103.446,
2,5,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,34.9841,24.2786,6.55357,76.6607,43.9841,24.2786,15.5536,85.6607,
2,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,87.5,0,87.5,87.5,96.5,0,96.5,96.5,
2.1,6,2,5,3,0,1.84467e+13,0,1.84467e+13,1.84467e+13,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,26.4631,19.0788,8.46312,46.4631,36.9643,19.0788,18.9643,56.9643,
2.1,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.1,1,3,2,6,5,1.84467e+13,29.9342,1.84467e+13,1.84467e+13,2034.49,29.9333,1994.49,2074.49,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.70166,1.89244,2.69571,7.44571,14.2024,1.89244,12.1964,16.9464,
2.1,3,3,2,3,0,1.84467e+13,33.307,1.84467e+13,1.84467e+13,2046.82,33.3067,2009.49,2073.49,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,16.4814,9.74653,10.0529,27.6957,25.9821,9.74653,19.5536,37.1964,
2.1,5,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,16.4241,11.849,6.33929,32.9107,25.4241,11.849,15.3393,41.9107,
2.1,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,89.0833,9.2376,83.75,99.75,98.0833,9.2376,92.75,108.75,
2.2,1,2,5,5,1,1.84467e+13,931.987,1.84467e+13,1.84467e+13,423.297,931.987,6.5,2090.49,0,0,0,0,7.4,0.894427,7,9,5.30107,2.68348,0.50072,6.50116,4.68464,0.835632,4.21312,6.14214,17.3857,0.991804,15.6429,18.1429,
