Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1,1,2,5,5,5,1.1617,0.0798589,1.01884,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.99785,0.0798589,2.96214,3.14071,
1,2,2,3,5,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1,3,3,3,5,5,1.08572,0.00798589,1.07143,1.08929,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,2.89643,0.00798589,2.89286,2.91071,
1.1,4,3,4,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
1.1,1,2,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.96214,0,2.96214,2.96214,
1.1,2,2,3,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.1,3,3,3,7,7,1.08929,0,1.08929,1.08929,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,2.89286,0,2.89286,2.89286,
1.2,1,2,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.96214,0,2.96214,2.96214,
1.2,2,2,3,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.2,3,3,3,6,6,1.07441,0.00729009,1.07143,1.08929,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,2.90774,0.00729009,2.89286,2.91071,
1.3,3,3,5,6,6,1.14665,0.080374,1.01884,1.19741,5.41667,2.65361,0,6.5,0,0,0,0,2.33333,0.816497,2,4,5.41763,2.65409,0,6.50116,2.80476,0.0882965,2.74785,2.92642,
1.3,2,2,2,6,6,1.17559,0.0510298,1.07143,1.19643,0.0833348,0.204128,0,0.500009,0,0,0,0,2.33333,0.816497,2,4,0.0834533,0.204418,0,0.50072,2.76178,0.0726033,2.73214,2.90998,
1.3,1,2,3,7,7,1.04351,0.067865,1.01786,1.19741,1.35715,2.26778,0.500009,6.5,0,0,0,0,2,0,2,2,1.35793,2.26795,0.50072,6.50116,2.91743,0.0197131,2.90998,2.96214,
1.4,3,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
1.4,2,2,2,7,7,1.83928,0.283473,1.19643,1.94643,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.73214,0,2.73214,2.73214,
