Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax,e2eMea,e2eStd,e2eMin,e2eMax
1,1,3,6,3,0,1.17955,0.251906,0.947411,1.44741,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,2.88476,0.107638,2.78357,2.99785,31.0655,0.221842,30.9286,31.3214,
1,2,2,6,3,0,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,2.90857,0,2.90857,2.90857,30.9286,0,30.9286,30.9286,
1,4,3,2,5,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.88856,0.0479154,2.80284,2.90998,6.96071,0.0479154,6.875,6.98214,
1.1,3,3,5,6,6,1.31051,0.313324,1.12598,1.94741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.08714,0.341441,4.74785,5.74785,21.3988,0.336865,21.1786,21.9464,
1.1,1,3,6,7,0,1.19741,0,1.19741,1.19741,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,2.73,0,2.73,2.73,30.9286,0,30.9286,30.9286,
1.1,2,2,6,7,0,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,2.90857,0,2.90857,2.90857,30.9286,0,30.9286,30.9286,
1.1,4,3,2,7,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,6.98214,0,6.98214,6.98214,
1.2,3,3,5,7,7,1.18466,0.00871332,1.17955,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,3.66622,0.477141,3.46214,4.74785,19.852,0.482662,19.6607,20.9464,
1.2,1,3,6,6,0,1.02479,0.133948,0.929554,1.19741,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,3.54547,0.133948,3.37285,3.64071,31.5714,0,31.5714,31.5714,
1.2,2,2,6,6,0,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,2.90857,0,2.90857,2.90857,30.9286,0,30.9286,30.9286,
